Timestamp	Full Name	University Of Manchester email address	Which faculty are you in?	How did you find out about this course?	Which programming languages do you use?	Which version control systems do you use?	Which software engineering techniques do you use?	Which course did you attend?	Please suggest one thing the instructor could have done to make this lesson more effective?	If you could pick one thing from the lesson to go over again, what would it be?	What other topics would you like to have covered in the lesson?	Do you have any other feedback?	How would you rate the course overall?
28-Jun-2018			Biology, Medicine and Health	Word of mouth	MATLAB	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Data analysis using R	The course contains a lot of information in a very short time, it may be better to split it in two days 	the last part, model fitting etc.. 	Some more information about how to conduct statistical analysis. But this may be worth it to do it in a separate course only focused on that. 	it was too fast at the en  ( the most interesting parts)	3
28-Jun-2018			Biology, Medicine and Health	StaffNet Learning and Development page	MATLAB, SAS	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Data analysis using R	Splitting the course in two days so there is more time to go through the Model fitting with R section	Model fitting with R, Combining your code with text	Examples of Model fitting with R		4
28-Jun-2018			Humanities	A University email list	MATLAB, Stata	None	None	Data analysis using R	The instructor did very well.	Be familiar with the materials before the training			4
28-Jun-2018			Humanities	A University email list	MATLAB, R, Stata	None	None	Data analysis using R	Use public address system	The graphical representation	Spatial analysis	No	4
28-Jun-2018			Humanities	A University email list	MATLAB, Stata	None	None	Data analysis using R	Get more time for the sessions, possibly two days	referencing with Bibtex	Longitudinal data analysis using R		5
29-Jun-2018			Biology, Medicine and Health	David Gerrard	None	None	None	Data analysis using R	Slowed down a little at the end, we finished at 4pm, but the course was scheduled to finish at 4:30pm. 	The final section about mixing code with text.	More of an intro to the syntax of R. eg: how to structure commands, really basic stuff about how the puncutation works eg: when to use brackets etc.	An excellent course, really useful. Thanks!	5
29-Jun-2018			Biology, Medicine and Health	A University email list	MATLAB, Python, R, Stata	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Unit testing	Data analysis using R	The introductory part could be shorter, e.g., define variables, simple calculation in console, etc. 	N/A	How to make your codes a package to submit to e.g. CRAN/Bioconductor/Github	The instructor and other TAs are good.	5
17-Sep-2018			Biology, Medicine and Health	StaffNet Learning and Development page	R	None	None	Introduction to Python	Explaining in detail of the instructions required for each lesson	I would like to know what Python is, the environment required for use and what I can do even before coming to this intro course.			4
17-Sep-2018			Science and Engineering	CDT Requirement	None	None	None	Programming in Python	Pace went at speed of the one or two who understood. Examples were not given time for student to complete. 	Almost everything	I don't know anything about Python - how can I answer this?	seems like I shouldn't have been in this class	2
17-Sep-2018			Biology, Medicine and Health	StaffNet Learning and Development page	R	None	None	Programming in Python	Less content in one session	more working examples	applications of		4
17-Sep-2018			Humanities	Research IT newsletter (researchitnews.org)	Python	None, Paper and pen!	None, Still learning, so no techniques as yet.	Programming in Python	Smaller classes, set out a task at the beginning, and work towards it.	File opening.	Writing back to files.	Ann G. was a really good instructor.	5
17-Sep-2018			Biology, Medicine and Health	eProg training catalogue	MATLAB, R, Lua	None	None	Introduction to Python	Talk a bit more about Python environments at the start	Functions	Inputting different data types - image data		5
17-Sep-2018			Science and Engineering	StaffNet Learning and Development page	MATLAB, Python, R	Git	Comments, Assertions (pre- and post-conditions), Unit testing	Introduction to Python	Go through all the material	Functions			5
17-Sep-2018			Science and Engineering	CDT Course	None	None	Comsol	Introduction to Python	more hands on practices	more hands on practices			4
17-Sep-2018			Science and Engineering	CDT programme	MATLAB, Mathematica	None	None	Introduction to Python	N/A	syntax, especially when the code uses numpy	visualisation, selecting different type of graphs 	N/A	5
17-Sep-2018			Biology, Medicine and Health	A University email list	R, Bash	Git	Comments	Introduction to Python	none	none			4
18-Sep-2018			Humanities	IT Research staff 	MATLAB, Python, Stata	None	None	Introduction to Python	I was good in general. Maybe a faster introduction to codes, then more of problem solving tasks.	Python libraries list, the course was very basic for me.	More practical programmings	A water fountain and direction to cafe. Thanks anyway.	3
18-Sep-2018			Science and Engineering	CDT Compulsory Activity	None, MATLAB	None	None	Introduction to Python	A practical case where we have to analyse some data	"•	Storing Multiple Values in Lists"			5
18-Sep-2018			Science and Engineering	Supervisor	MATLAB	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Code reviews	Introduction to Python	It was good	-	-		4
18-Sep-2018			Science and Engineering	Supervisor	MATLAB	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Code reviews	Introduction to MATLAB	It is good	--	-	-	4
18-Sep-2018			Science and Engineering	A University email list	MATLAB, Fortran, Python	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to Python	-	-			4
18-Sep-2018			Science and Engineering	A University email list	MATLAB, Fortran, Python	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to MATLAB	-	-			4
18-Sep-2018			Biology, Medicine and Health	A University email list	None	None	None	Introduction to MATLAB	a little bit more theory, for example more introduction about matlab and how we can implement its use	more about codes and what are they used for (a summary)			4
18-Sep-2018			Science and Engineering	Part of CDT course (M4DE	MATLAB, Python	None, Git	None	Introduction to Python	Thought, it was well taught, however maybe a more diverse range of example problems could be useful.	.			5
18-Sep-2018			Science and Engineering	CDT	None	None	None	Introduction to MATLAB	More real classes, different examples than those explained in Python	Plotting data and changing the name of a file with the CD fulfill			4
18-Sep-2018			Science and Engineering	A University email list	None	None	None	Introduction to MATLAB	Different topic to introduction to python	Loops			4
18-Sep-2018			Science and Engineering	CDT	None	None	None	Introduction to MATLAB	more practices	script editor			3
18-Sep-2018			Science and Engineering	A University email list	None	None	None	Introduction to MATLAB	It was effective enough	-	-	-	5
18-Sep-2018			Science and Engineering	A University email list	MATLAB	Git	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to MATLAB	More precise and concise. 	Creating functions			4
18-Sep-2018			Science and Engineering	CDT program	MATLAB, Python, Mathematica	None	None	Introduction to MATLAB	N/A	Loop formation	comprehending large data / image analysis	N/A	5
18-Sep-2018			Science and Engineering	CDT programming course	None	None	None	Introduction to MATLAB	He could have used a real example that covers all the topic, instead of picking up small things not connected to each other.	Functions	How to do fitting with matlab	No.	4
18-Sep-2018			Science and Engineering	A University email list	None	None	None	Introduction to Python	It was effective enough	-	-	-	5
18-Sep-2018			Science and Engineering	StaffNet Learning and Development page	MATLAB	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to MATLAB	some exercises were unclear (like the if condition exercise) so more introduction for clarity is prefeered	creating loops and conditions	more about function building	no.. it was a great course and i learned a lot from it	4
18-Sep-2018			Science and Engineering	CDT 	None	None	None	Introduction to MATLAB	Add user input functions. 	"importing different types of data - ""real world data sets"" problems with titles, weird formats"	? what else can it do?	shame it repeated yesterdays content. Although good to hammer home yesterdays lessons. Potentially could have been used to show some other functionality	4
18-Sep-2018			Science and Engineering	CDT programming course	None	None	None	Introduction to Python	Less copy and paste and give examples with real problems (i.e. engineering) that cover the topics given in the lecture. 	None	None	Nope	4
18-Sep-2018			Science and Engineering	A University email list	None	None	None	Introduction to MATLAB	need more time to finishes the example lessons	nothing topics covered well			4
18-Sep-2018			Science and Engineering	A University email list	None	None	None	Introduction to Python	left a bit more time to work on the exercises	have more time available to go through answers			3
18-Sep-2018			Science and Engineering	StaffNet Learning and Development page	None	None	Assertions (pre- and post-conditions)	Introduction to MATLAB	Gerard is very professional and I learn more from him.	Loop sentences	Defensive Programming of matlab	No	5
19-Sep-2018			Science and Engineering	A friend told me	MATLAB	None	None	Introduction to MATLAB	None.	Repeating With Loops.	Defensive Programming.	The instructor is very nice and helpful.	5
19-Sep-2018			Science and Engineering	CDT course	None	None	None	Introduction to Python	Advantages over 'conventional' programs like Excel	Loops - too late in the day to get my head round!			4
19-Sep-2018			Biology, Medicine and Health	Supervisor	Python	None	None	Introduction to Python	explain the process behind initial downloading and launching Python	axis = 0 and axis = 1 explanation			4
19-Sep-2018			Science and Engineering	CDT course 	MATLAB	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to MATLAB	The class was well taught in general. It may be more effective to spend less time on very simple initial examples so more time could be spent on the less self explanatory parts. 	Spend more time on functions			5
20-Sep-2018			Science and Engineering	Supervisor	MATLAB	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Code reviews	UNIX shell (Linux command line)	the course is nicely done	-	-	-	4
20-Sep-2018			Biology, Medicine and Health	StaffNet Learning and Development page	R	None	Code reviews	UNIX shell (Linux command line)	Why you may want to use bash in the first place, why it is powerful	Accessing Linux bash on windows without dual boot		Very good	4
20-Sep-2018			Science and Engineering	CDT Course	None	None	None	UNIX shell (Linux command line)	Explain why this is an effective technique/process as opposed to conventional process - e.g. why not just drag and drop rather than use code?	Pipes			4
20-Sep-2018			PSS	Word of mouth	None	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	UNIX shell (Linux command line)	Maybe a bit slower on the session. we could not hear and see properly at the back of the classroom	Loops	Directories, copy and paste. navigate in Unix	Nope	4
20-Sep-2018			Science and Engineering	CDT course	MATLAB, Bash	Git	None	UNIX shell (Linux command line)	the course was well taught. The projector screens were not very visible from afar, which made following the code quite hard	.			5
20-Sep-2018			Science and Engineering	CDT	None	None	None	UNIX shell (Linux command line)	Going quicker through the topics	Loops			2
20-Sep-2018			Science and Engineering	Supervisor	None	None	None	Introduction to MATLAB	A handout listing all terms and their definitions	Not sure 	Not sure	It would be good to see more applications of this	4
20-Sep-2018			Science and Engineering	Supervisor	None	None	None	Introduction to MATLAB	A handout listing all terms and their definitions	Not sure 	Not sure	It would be good to see more applications of this	4
20-Sep-2018			Biology, Medicine and Health	Searched the Training Catalogue on eProg	None	None	None	UNIX shell (Linux command line)	Not sure, I think the lesson was very effective and clearly delivered.	Shell Scripts	None, I think there was enough content for an introductory one-day course. Any more would have been too much to effectively take in.	Really excellent course! Clear, well organised, good practice tasks to work on. I feel better prepared to use Unix in my doctoral research now.	5
20-Sep-2018			Science and Engineering	Supervisor	None	None	None	Introduction to Python	Handout giving definitions of various terms used	Getting the programme to analyse the graphs	Not sure	I felt like I needed a session before this to explain what various terms meant 	3
20-Sep-2018			Science and Engineering	A University email list	None	None	None	UNIX shell (Linux command line)	Yet again, the computing class has been a sore disappointment. It follows the same format of spending 2-3 hours covering something very, very basic then, once some actual thought needs to be applied, pointed refuse to allow the class to catch up. It's impossible to listen to the instructor while typing/ copy paste my code. 	Not copying/ deleting of files but all the other stuff	How am I supopoed to know this? This is an introduction to Linux bash or whatever - it should be introducing what it can do! So far all I know is that I could have done everything I got shown in Excell. 	Another waste of a day	1
20-Sep-2018			Biology, Medicine and Health	StaffNet Learning and Development page	None	None	None	UNIX shell (Linux command line)	n/a	Final section -ran out of time	Unsure - complete beginner	Great session, allowed to go at own pace (went ahead and spent longer on harder topics)	5
20-Sep-2018			PSS	Word of mouth	None	None	None	UNIX shell (Linux command line)	Microphone as room is large	Scripts		Really useful course, been meaning to learn these commands properly for ages	5
20-Sep-2018			Biology, Medicine and Health	A University email list	None	None	None	UNIX shell (Linux command line)	Spent a little more time on what we covered in the afternoon, and covered the morning's material a little faster	working through pipes to make loops and scripts, and more time to practice writing our own simple scripts		Good introduction, thank you!	5
20-Sep-2018			Biology, Medicine and Health	search training and development directory	None	None	None	UNIX shell (Linux command line)	If there had been less content to cover, it would have given the instructor more time to explain things and put them in to context.	pipes and filters	processing genomic/RNA sequencing data		4
20-Sep-2018			Science and Engineering	CDT training course	None	None	None	UNIX shell (Linux command line)	She was very good explaining. Perhaps it could be explained at the beginning varying situations where would be good to use the Shell instead of conventional ways of organizing files.	Pipes	None	None	4
20-Sep-2018			Science and Engineering	CDT	MATLAB, Python, Mathematica	None	None	UNIX shell (Linux command line)	A chart (to give away) of argument description (-n, -f) for some frequently used commands would be helpful	goostap	N/A	N/A	4
20-Sep-2018			Science and Engineering	StaffNet Learning and Development page	Python, Bash	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	UNIX shell (Linux command line)	more short breaks	how to write a shell script			4
20-Sep-2018			Science and Engineering	Supervisor	None	None	None	UNIX shell (Linux command line)	Spend less time on the moving, renaming files and navigating through the file directory and more time on the later episodes 	The last two episodes as these were skimmed over and would be more useful 	How it could be used in our research	No	4
20-Sep-2018			Science and Engineering	StaffNet Learning and Development page	MATLAB, R, Mathematica, Bash	Git	Sub-programs (e.g. functions, subroutines, methods, procedures)	UNIX shell (Linux command line)	More dynamic, all the scripts were explained on the slides but sometimes an extra explanation was needed	The pipes and filters	Running other programs through the shell		4
20-Sep-2018			Humanities	Contact in Research IT office	None	None	None	UNIX shell (Linux command line)	Perhaps have a list of basic commands available in print or electronic form - for a total newcomer to the language, there are a lot of commands to learn very quickly, so a list would be helpful to reflect back throughout the day	Same comment as above - have a way to memorize the commands and what they do		Nice introductory course, many thanks for organizing!	5
20-Sep-2018			Science and Engineering	CDT	None	None	None	UNIX shell (Linux command line)	More hands on practical	More hands on practical			3
20-Sep-2018			Science and Engineering	A University email list	None	None	None	UNIX shell (Linux command line)	-	-	-	-	5
21-Sep-2018			Science and Engineering	CDT	None	None	None	UNIX shell (Linux command line)	The instructor was good but the course notes seemed oddly structured, they spent too long focusing on the simple commands and not enough time focusing on more complicated ones e.g. loops etc	The worked examples, possibly would've been effective to have people work through a lesson at their own pace and have the instructor as floating technical support	Focus on examples of unix use in research	Instructor was good and clearly knew the material, the notes where oddly structured	4
21-Sep-2018			Science and Engineering	CDT course	None	None	None	Version control with Git and GitHub	Difficult to say, class was great!	Undoing changes			5
21-Sep-2018			Biology, Medicine and Health	Supervisor	Python	None	None	UNIX shell (Linux command line)	More aware if people needed help	Loops		Was really helpful, thank you!	4
21-Sep-2018			Science and Engineering	CDT	None	None	None	Version control with Git and GitHub	Nothing	Rebasing			4
21-Sep-2018			Science and Engineering	CDT	MATLAB, Python, Mathematica	None	None	Version control with Git and GitHub	The session requires an active assistant	push and pull the data from the github			4
21-Sep-2018			Biology, Medicine and Health	Supervisor	Fortran, Bash	Git	Sub-programs (e.g. functions, subroutines, methods, procedures)	Version control with Git and GitHub	Use comparison to make difficult concepts easier	Explain the rebase part and with more details			5
21-Sep-2018			Science and Engineering	CDT programming course	None	None	None	Version control with Git and GitHub	None, I really liked the pace and the class. It was the best this week. Thanks Gerard!	Rebase	None	None	5
21-Sep-2018			Science and Engineering	StaffNet Learning and Development page	MATLAB, C/C++, Python	Git, Subversion	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing, Code reviews	Version control with Git and GitHub	Everything was explained in detail. I won't change anything	Perhaps, going through Git Bash commands			5
21-Sep-2018			Science and Engineering	CDT programme	MATLAB, Python, Bash	Git	None	Version control with Git and GitHub	Well taught course. Don't think there were many areas for improvement	didn't really understand debasing			5
21-Sep-2018			Science and Engineering	CDT requirement	None	None	None	Version control with Git and GitHub	Editing a notepad is ok but potentially there could be a simple script we get challenged to edit (copy paste hlaf a pre-prepared script) may make the purpose clearer	the afternoon stuff	?	overall seemed better than the linux day	4
21-Sep-2018			Science and Engineering	Word of mouth	C/C++, Python, R, Java, JS	Git	Sub-programs (e.g. functions, subroutines, methods, procedures)	Version control with Git and GitHub	N/A	N/A			5
22-Sep-2018			Science and Engineering	A University email list	None	None	None	Version control with Git and GitHub	-	-	-	-	5
23-Sep-2018			Science and Engineering	A University email list	None	None	None	Version control with Git and GitHub	NA	NA			3
24-Sep-2018			Science and Engineering	A University email list	None	None	None	Version control with Git and GitHub	none this session was very well structured 	none see above	overall I found the session extremely informative 		5
24-Sep-2018			Science and Engineering	StaffNet Learning and Development page	MATLAB, Fortran, Python	Git	Unit testing	Version control with Git and GitHub	Maybe the instructure typed too fast, or maybe I am too slow to follow. 	Branching, it was complicated.			4
26-Sep-2018			Humanities	StaffNet Learning and Development page	R	None	None	Introduction to Python	It is a personal problem but it would be helpful to include in the emails that we need to download the anaconda, etc. and also it would be easier to receive an email for the links	understand what python can do	 	 	5
26-Sep-2018			Biology, Medicine and Health	StaffNet Learning and Development page	None	None	None	Introduction to Python	Given some context about the data	the basic functions			4
26-Sep-2018			Science and Engineering	StaffNet Learning and Development page	MATLAB, Fortran, Python	Git	Unit testing	Programming in Python	I think we are going too slow. With some basic knowledge of MATLAB, I could easily understand the materials by myself even without any experience of Python.	Practise questions are really interesting. I would take some time to go over again.			4
26-Sep-2018			Science and Engineering	A University email list	None	None	None	Introduction to Python	no	no			5
26-Sep-2018			Science and Engineering	Supervisor	Python	None	Comments, Code reviews	Introduction to Python	N/A	plot	machine learning with python	thank you	4
26-Sep-2018			Science and Engineering	StaffNet Learning and Development page	Fortran, Python, R, Bash	Git	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to Python	maybe zoom in the screen, slides were going by too fast to follow some instructions	the examples and exercises were great!			4
26-Sep-2018			Biology, Medicine and Health	Eprog	Stata	None	None	Introduction to Python	Quite fast but obviously needed to get through the material	Bit longer to get head around loops		Good course	4
26-Sep-2018			Humanities	A University email list	None	None	None	Introduction to Python	Sometimes the content was gone through very quickly which is understandbale but if you made a small mistake you quickly fell behind. I also think there were some more complicated things that were gone over very quickly	Loops			3
26-Sep-2018			Biology, Medicine and Health	StaffNet Learning and Development page	R	None	None	Introduction to HPC (using CSF and DPSF)	n/a	n/a	n/a	n/a	5
26-Sep-2018			Biology, Medicine and Health	StaffNet Learning and Development page	MATLAB, R	None	None	Introduction to Python	It is really good. The subject is heavy, so I can't complain if I got a little bit tired at the end. 	The first two episodes were quit quick, but I am just getting used to programming, so it might have influenced on it. 	It is just enough. 	It was well explained. 	5
26-Sep-2018			PSS	Word of mouth	None	None	None	Introduction to Python	n/a	list of operands/commands etc	more functions	really great course thank you, teacher v good!	5
26-Sep-2018			Science and Engineering	Supervisor	Fortran, Python, Bash	Git	Code reviews	Introduction to Python	slow down the speed 	analyzing data			5
26-Sep-2018			PSS	Word of mouth	Python	None	None	Introduction to Python	It was a big amount of material to go through.	"Making Choices
"		I believe this session could split in 2 days - less time	4
26-Sep-2018			Science and Engineering	A University email list	C/C++, Bash	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to Python	More time needed	Ploting			5
26-Sep-2018			Science and Engineering	Research IT newsletter (researchitnews.org)	MATLAB, R	None	None	Introduction to Python	it was good, interactive jupyter notebook helped	na	analysing example data e.g. images, pixels, multivariate data, would be interested in advanced lectures using systems biology toolboxes		4
27-Sep-2018			Biology, Medicine and Health	Word of mouth	MATLAB, R	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to Python	Can't think of anything	Methods			5
3-Oct-2018			Biology, Medicine and Health	A University email list	R	None	None	Data analysis using R	nothing to add, the session was perfect	the mutate and gapminder commands	nothing	no	5
3-Oct-2018			Biology, Medicine and Health	StaffNet Learning and Development page	R	None	None	Data analysis using R	Maybe split it into two sessions making it over all slightly longer just to give the real basics in one and build on them in the second.	col_types function	Specific packages for Mass spec (very specific I know)		4
3-Oct-2018			Biology, Medicine and Health	StaffNet Learning and Development page	None	None	None	Data analysis using R	Nothing	mutate function in dplyer			5
3-Oct-2018			Biology, Medicine and Health	StaffNet Learning and Development page	Python	None	None	Data analysis using R	Gone through the models section	ggplot 	Creating models (not enough time to go over)		5
3-Oct-2018			Humanities	StaffNet Learning and Development page	None	None	None	Data analysis using R	I found very clear and easy to follow. 	Summary statistics maybe			5
3-Oct-2018			Science and Engineering	Research IT newsletter (researchitnews.org)	a little bit of Matlab, just learned R today	Not use, dont know much about version control system	no	Data analysis using R	It is a great training experience	Modeling Graph	Python, Matlab, Github, any software tool helpful for research	Fresh PGR student, not familiar with Research software, even Github	5
3-Oct-2018			PSS	StaffNet Learning and Development page	None	None	None	Data analysis using R	was great	reminder of the different commands 			5
3-Oct-2018			Biology, Medicine and Health	StaffNet Learning and Development page	R	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Data analysis using R	Maybe do more versions, explaining more things	Maybe the basics commands, just give a cheat-sheet so people can have a look before the course.		It was really useful, thanks! :)	5
3-Oct-2018			Humanities	Supervisor	R	Git	None	Data analysis using R	We ran out of time before we covered regression analysis	Making graphs	Linear Regression	Really helpful instruction	5
3-Oct-2018			Science and Engineering	StaffNet Learning and Development page	None	None	None	Data analysis using R	This course may need more time for practice	The package part			5
4-Oct-2018			Biology, Medicine and Health	Word of mouth	R	None	None	Data analysis using R	Asked people to be quiet when he was talking. 	Manipulating tables	Manipulating data; normalizing data etc.	I really enjoyed the course and would recommend to anyone interested in R.	5
4-Oct-2018			Biology, Medicine and Health	Word of mouth	None	None	None	Data analysis using R	Nothing the course instructor was good.	Plotting the data into a graph. This was an important part of the course for me as it is what I wanted the most from the course however it felt too rushed and I needed more time on it or even more time to ask questions. 		I know there is a separate course on data visualisation on R but this seems to be focused on using shiny. Could there be a course just on just data visualisation using R? 	4
5-Oct-2018			Science and Engineering	StaffNet Learning and Development page	None	None	None	Data analysis using R	Nothing, it was great	editing graphs, we ran short on time	none, this was a good amount of information for me to go home and digest	no	5
11-Oct-2018			Science and Engineering	Research IT newsletter (researchitnews.org)	Python, R, Bash	Git	None	Data analysis using R	NA	Thought it was all good			5
16-Oct-2018			Science and Engineering	StaffNet Learning and Development page	None	None	None	Introduction to MATLAB	How to use the Latex	some Latex examples	some easy control methods	No	5
16-Oct-2018			Humanities	A University email list	MATLAB, Stata	None	Comments	Introduction to LaTeX	everything was well explained	slides	how to install latex	no	4
16-Oct-2018			Humanities	Word of mouth	Stata	None	None	Introduction to LaTeX	no he was perfect	the citation 	it's already quite comprehensive for a beginner	none	5
16-Oct-2018			Science and Engineering	Word of mouth	MATLAB, C/C++, Latex	None	None	Introduction to LaTeX	More examples	citation			5
16-Oct-2018			Science and Engineering	StaffNet Learning and Development page	Bash	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to LaTeX	Tutorial. Together do the exercise with audiens	How to cite work	Is it possible to type everything in  word and pste it in latex	No	4
16-Oct-2018			Science and Engineering	StaffNet Learning and Development page	MATLAB, Bash	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to LaTeX	N/A	N/A	N/A	N/A	4
16-Oct-2018			Science and Engineering	Research IT newsletter (researchitnews.org)	MATLAB, Python, R	None	None	Introduction to LaTeX	The course content was covered adequately. The rest is about practise and trial and error compiling lengthier. Advance course would help if includes integration with matlab/other if possible. 	equations require more time/practise	convert latex to MS word to enable edits/track changes by others		4
16-Oct-2018			Biology, Medicine and Health	StaffNet Learning and Development page	MATLAB, C/C++, Python, R, Lua	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to LaTeX	Nothing- was great	Nothing- was great	Putting graphics in from R	Great course thank you :)	5
16-Oct-2018			Science and Engineering	Supervisor	None	None	Linux	Introduction to LaTeX	None	Citations is confusing 	None	No	4
16-Oct-2018			Science and Engineering	StaffNet Learning and Development page	MATLAB, Fortran, Python, Bash	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to LaTeX	more systematic	equation expression	table 	no	4
16-Oct-2018			Biology, Medicine and Health	StaffNet Learning and Development page	C/C++	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing	Introduction to LaTeX	 -	 -			4
16-Oct-2018			Science and Engineering	Research IT newsletter (researchitnews.org)	MATLAB, R	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to LaTeX	Writing an article with the Latex	Thesis			4
16-Oct-2018			Science and Engineering	Word of mouth	R	None	Comments	Introduction to LaTeX	Instruct on how to create tables in LaTeX. I appreciate it might be relatively tricky to do, but tables are something many PhD students/academics will produce for a publication at some point in their careers.	The LaTeX 'workflow', i.e. what the TeXstudio black box is doing.	Version control. (I have now just signed up to attend the version control training course.)	Tea and coffee for workshop attendees. Pretty please, with a cherry on top...	5
16-Oct-2018			Science and Engineering	Word of mouth	MATLAB, C/C++	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to LaTeX	More detailed introduction of version control	Citation			5
16-Oct-2018			Science and Engineering	Supervisor	None	None	None	Introduction to LaTeX	none	none		Very useful for a beginner with little coding experience. A nice introduction which has left me happy to start experimenting and learning	5
16-Oct-2018			Science and Engineering	StaffNet Learning and Development page	Bash	Git	None	Introduction to LaTeX	I really liked his pace.	I had to go earlier and missed explanation about dissertation changes with git bash but I think can do by myself since I used latex before.		Nope.	5
17-Oct-2018			Science and Engineering	StaffNet Learning and Development page	MATLAB, Python	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to Python	Session was very long, couldn't take in new information by the end.	Functions	Examples of applications of Python for different topic areas.	At the start of the session, it would have been good if the lecturer asked the room what experience they did/didn't have. I liked the different coloured post it notes.	4
17-Oct-2018			Science and Engineering	StaffNet Learning and Development page	None	None	None	Introduction to Python	None	None	None	Nope	4
17-Oct-2018			Science and Engineering	StaffNet Learning and Development page	MATLAB, Python, Mathematica	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to Python	Maybe releasing the code (a preview of the material) before hand. So that students can have a bit of a headstart.	more explanation about how to use glob, and matplotlib.pyplot.figure and what they are.		very well organized	5
17-Oct-2018			Biology, Medicine and Health	StaffNet Learning and Development page	Fortran	Git	Sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	Structure of the presentation can be modified to make it easier to follow	generate the graphs	array manipulation		4
17-Oct-2018			Humanities	Research IT newsletter (researchitnews.org)	None	None	None	Introduction to Python	More breaks to catch up for slower learners (and maybe less content)	All of it!	None for now (plenty here to start with!)	Interesting course (but amount of content ambitious for complete beginners?)	3
17-Oct-2018			Science and Engineering	A University email list	Python, R	None	None	Introduction to Python	I did not really listen to it, just worked through the examples myself	Drawing graphs		"Good examples to work through, although on a few occasions could do better with providing reasoning for the calculation/manipulation, e.g. why sometimes you need to resize data. Also errors and exceptions chapter does not really mention exceptions and how to handle them, so the title of the last section is not accurate at all. 
Overall was a good refresher of basic programming, that I have learned earlier this year. "	4
17-Oct-2018			Science and Engineering	Word of mouth	MATLAB, C/C++	None	None	Introduction to Python	Split the workshop into 2 shorter ones	loops			4
17-Oct-2018			Humanities	Research IT newsletter (researchitnews.org)	R, Stata	None	Comments	Introduction to Python	All was good.	Data visualization	Data scrapping	No	5
17-Oct-2018			Science and Engineering	StaffNet Learning and Development page	MATLAB, Python	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to Python	More breaks. 	The final section o functions. 		"Would be useful if this course was offered over 2 or 3 days, for just a couple of hours each day. 
Most of the course was in the resources section online. It might be useful to have an online version of the course with days/times that you could come if you are having problems with on specific section. "	4
17-Oct-2018			Biology, Medicine and Health	StaffNet Learning and Development page	Python, R	None	None	Introduction to Python	Not read directly from notes	Graphs in numpy	Using PyCharm - learn how to use command line and python together.		4
17-Oct-2018			Biology, Medicine and Health	eprog catalogue 	R	None	None	Introduction to Python	Slower pace maybe. More insight into why we are writing certain commands.	creating plots and subplots			4
17-Oct-2018			Science and Engineering	Supervisor	Linux	None	None	Introduction to Python	none	functions	none	no	4
17-Oct-2018			Science and Engineering	StaffNet Learning and Development page	Python	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to Python	Maybe make the screen a bit bigger. I never used Python before so maybe a bit more of basic things.	Introduction	Basic things	At the end I found it a bit complex and got lost.	3
17-Oct-2018			Biology, Medicine and Health	StaffNet Learning and Development page	Python	None	None	Introduction to Python	cover fewer topics but in more depth	creating functions			4
17-Oct-2018			Science and Engineering	StaffNet Learning and Development page	Python	None	None	Introduction to Python	the lesson was really interesting	creation of function			4
19-Oct-2018			Science and Engineering	Word of mouth	Python	None	None	Introduction to Python	More exercise	The introduction of Python's code database			4
23-Oct-2018			Science and Engineering	eProg	Python	None	None	Introduction to Python	Less reading from course notes and more explaining of basic concepts, thus making everything less chaotic	"The ""range"" function"			3
